region,adod_prevelance_2012,adod_prevelance_2020,adod_prevelance_2030
Central San Diego,3193,4958,6424
Mid-City,3136,3698,4227
Southeast San Diego,3203,4160,4985
East,14865,18410,21489
Alpine,339,426,555
El Cajon,3702,4460,5322
Harbison Crest,2811,3236,3684
Jamul,212,307,533
La Mesa,2282,2940,3396
Laguna-Pine Valley,5,7,11
Lakeside,1044,1384,1673
Lemon Grove,1094,1314,1517
Mountain Empire,128,132,190
Santee,1391,1948,2175
Spring Valley,1858,2255,2433
North Central,8730,12913,15432
Coastal,1068,1521,1834
Del Mar-Mira Mesa,1654,2496,3084
Elliott-Navajo,1127,1659,2093
Kearny Mesa,3369,5122,6003
Miramar,,0,0
Peninsula,905,1156,1353
University,606,959,1064
North Coastal,7985,10056,12002
Carlsbad,1622,2294,2710
Oceanside,2532,3170,3920
Pendleton,,0,0
San Dieguito,1518,1885,2207
Vista,2313,2706,3165
North Inland,10538,13078,15374
Anza-Borrego Springs,88,84,113
Escondido,3769,4456,5205
Fallbrook,717,792,1049
North San Diego,2180,3027,3376
Palomar-Julian,54,60,69
Pauma,48,46,66
Poway,1420,1792,1994
Ramona,793,932,1074
San Marcos,1207,1530,1894
Valley Center,263,359,535
South,8350,10682,13603
Chula Vista,2912,3328,4131
Coronado,401,500,568
National City,2188,2487,3093
South Bay,2022,3001,3996
Sweetwater,827,1366,1815
