col0,elder_pop_2012_55_64,elder_pop_2012_65_74,elder_pop_2012_75_84,elder_pop_2012_85_and_over,elder_pop_2012_55_and_over
San Diego County,348096.0,195292.0,116917.0,59843.0,720148.0
Central,48062.0,24555.0,13733.0,6254.0,92604.0
Central San Diego,17052.0,9171.0,4999.0,2318.0,33540.0
Mid-City,14520.0,7100.0,3876.0,2075.0,27571.0
Southeast San Diego,16490.0,8284.0,4858.0,1861.0,31493.0
East,58807.0,32496.0,18749.0,9701.0,119753.0
Alpine,2274.0,1392.0,695.0,317.0,4678.0
El Cajon,14170.0,8251.0,4981.0,2361.0,29763.0
Harbison Crest,2658.0,1474.0,902.0,361.0,5395.0
Jamul,2629.0,1361.0,579.0,208.0,4777.0
La Mesa,7196.0,4082.0,2867.0,2094.0,16239.0
Laguna-Pine Valley,1096.0,591.0,217.0,132.0,2036.0
Lakeside,7302.0,3861.0,2056.0,857.0,14076.0
Lemon Grove,3511.0,1801.0,1084.0,645.0,7041.0
Mountain Empire,1207.0,786.0,399.0,182.0,2574.0
Santee,6653.0,3599.0,1907.0,869.0,13028.0
Spring Valley,10111.0,5298.0,3062.0,1675.0,20146.0
North Central,66362.0,39130.0,24346.0,12228.0,142066.0
Coastal,7847.0,6118.0,3985.0,2558.0,20508.0
Del Mar-Mira Mesa,19764.0,9759.0,4099.0,1534.0,35156.0
Elliott-Navajo,10867.0,7111.0,4825.0,2268.0,25071.0
Kearny Mesa,16509.0,9267.0,7016.0,3352.0,36144.0
Miramar,9.0,4.0,0.0,0.0,13.0
Peninsula,6966.0,3768.0,2234.0,1360.0,14328.0
University,4400.0,3103.0,2187.0,1156.0,10846.0
North Coastal,57750.0,32031.0,19780.0,11537.0,121098.0
Carlsbad,15255.0,9395.0,6162.0,3609.0,34421.0
Oceanside,17365.0,9667.0,6359.0,2963.0,36354.0
Pendleton,119.0,46.0,22.0,2.0,189.0
San Dieguito,14482.0,7657.0,3965.0,2974.0,29078.0
Vista,10529.0,5266.0,3272.0,1989.0,21056.0
North Inland,70669.0,41151.0,23417.0,12991.0,148228.0
Anza-Borrego Springs,831.0,809.0,538.0,207.0,2385.0
Escondido,17517.0,9519.0,5507.0,3162.0,35705.0
Fallbrook,6479.0,4688.0,2732.0,1339.0,15238.0
North San Diego,13254.0,7273.0,4195.0,2660.0,27382.0
Palomar-Julian,1320.0,1006.0,438.0,197.0,2961.0
Pauma,931.0,487.0,237.0,116.0,1771.0
Poway,12279.0,6564.0,3405.0,1827.0,24075.0
Ramona,5168.0,2507.0,1216.0,581.0,9472.0
San Marcos,9102.0,5891.0,3888.0,2358.0,21239.0
Valley Center,3788.0,2407.0,1261.0,544.0,8000.0
South,46446.0,25929.0,16892.0,7132.0,96399.0
Chula Vista,11670.0,7036.0,5176.0,2480.0,26362.0
Coronado,2442.0,1697.0,1193.0,650.0,5982.0
National City,5401.0,2810.0,2237.0,877.0,11325.0
South Bay,13163.0,7281.0,4460.0,1595.0,26499.0
Sweetwater,13770.0,7105.0,3826.0,1530.0,26231.0
