Facility Name,Capacity,Address,City,County,Zipcode,Telephone
Anne’s Place II,6,2690 Mary Lane Place,Escondido,San Diego,92025,(760) 522-1989
Country Club Guest Home,10,25533 Rua Michelle,Escondido,San Diego,92026,(760) 747-0957
Fredericka Manor,560,183 Third Ave.,Chula Vista,San Diego,91910,(619) 422-2686
Golden Living Inc.,113,3223 Duke St.,San Diego,San Diego,92110,(619) 222-1109
Habilitative Home Residential,4,11775 Walnut Rd.,Lakeside,San Diego,92040,(619) 270-4484
Harbor View Chateau,30,2360 Albatross St.,San Diego,San Diego,92101,(619) 233-8382
Howard House (TBI)***,0,2033 Oro Verde Road,Escondido,San Diego,92027,(760) 480-7468
Jacob Health Care Center,40,4075 54th St.,San Diego,San Diego,92105,(619) 582-5168
Oceanside Rest Home,6,4451 San Joaquin St.,Oceanside,San Diego,92057,(760) 529-5532
Oceanside Rest Home #2,6,15 Shasta Court,Oceanside,San Diego,92057,(760) 529-5532
Oceanside Rest Home #3,6,4459 San Joaquin St.,Oceanside,San Diego,92057,(760) 529-5532
Oak Hill Residential Care I,I3,612 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care II,14,622 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care III,14,632 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care IV,14,642 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care V,14,652 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care VI,15,662 Tranquility Glen,Escondido,San Diego,92027,(760) 743-8843
Oak Hill Residential Care VII,15,1353 Oak Hill Dr.,Escondido,San Diego,92027,(760) 743-8843
Pacific Breeze Home Care,6,137 Playa Del Rey Ave.,Oceanside,San Diego,92058,(760) 822-0807
Pacifica Senior Living,143,1351 E. Washington Ave.,Escondido,San Diego,92027,(760) 741-3055
Rancho Pacific Home Care,6,4416 San Joaquin St.,Oceanside,San Diego,92057,(760) 822-0807
Right Choice Senior Living I,6,6354 Cascade St.,San Diego,San Diego,92122,(858) 641-0131
Right Choice Senior Living II,6,4949 Mt. Longs,San Diego,San Diego,92117,(619) 246-2003
San Joaquin Assisted Living,6,4478 San Joaquin St.,Oceanside,San Diego,92057,(760) 754-2774
Santa Martha Residential I,6,6325 Dennison St.,San Diego,San Diego,92122,(858) 586-6431
Santa Martha Residential II,6,3739 Millikin Ave.,San Diego,San Diego,92122,(858) 586-6431
Santa Martha Residential III,6,7108 Werner Ave.,San Diego,San Diego,92122,(858) 586-6431
Sapphire Pacific I,6,262 Silver Creek Glen,Escondido,San Diego,92029,(714) 322-1910
Sapphire Pacific II,6,839 La Tierra Dr.,San Marcos,San Diego,92078,(714) 322-1910
Tenenbaum Villa,8,3463 Circulo Adorno,Carlsbad,San Diego,92009,(760) 942-5048
Tessie Board and Care,6,7229 Zest St.,San Diego,San Diego,92139,(619) 773-7410
The Manse *,48,2354 Watson Way,Vista,San Diego,92081,(760) 727-1221
Vibrant Living,6,5723 Bounty St.,San Diego,San Diego,92120,(619) 971-8431
Woodland Garden I,6,1717 Katy Place,Escondido,San Diego,92026,(760) 735-8414
Woodland Garden II,6,1709 Katy Place,Escondido,San Diego,92026,(760) 735-8414
