Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",CHARLES MAJOR,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,376,LICENSED,5/20/10,,4/3/15,1,0,0,1
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES,LLC",CLARA ALLEN,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,21,122,LICENSED,11/5/04,,4/4/16,2,0,0,2
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,330907913,ALTAVITA,AIRFORCE VILLAGE WEST INC & ESKATON PROPERTIES INC,BRUCE CAMERON,(951) 697-2000,17050 ARNOLD DRIVE,RIVERSIDE,CA,92518,RIVERSIDE,18,770,LICENSED,12/22/89,,10/12/16,1,1,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,MARY MONNIER,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,28,518,LICENSED,3/31/99,,12/20/16,1,1,1,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME, INC.",CHRIS PARKER,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,29,188,LICENSED,5/28/93,,11/2/15,1,0,4,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,MATTHEW NEELEY,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,28,574,LICENSED,7/2/76,,12/18/15,1,2,4,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE",MARLENE RAINEN,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,28,41,LICENSED,5/1/76,,10/14/15,1,5,0,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,BROOKDALE CAMARILLO,"S-H OPCO CAMARILLO,LLC-BKD TWENTY-ONE MGT CO,INC",VINCENT GONZAGA,(805) 388-8086,6000 SANTA ROSA ROAD,CAMARILLO,CA,93012,VENTURA,31,140,LICENSED,8/29/14,,4/6/16,0,7,2,9
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603618,BROOKDALE CARLSBAD,S-H OPCO CARLSBAD LLC/BKD TWENTY-ONE MNGMNT CO INC,SASHA HIGHTOWER,(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,8,125,LICENSED,8/29/14,,10/20/16,0,8,7,15
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603617,BROOKDALE CARMEL VALLEY,S-H OPCO CARMEL VALLEY LLC/BKD 21 MNGMNT CO INC,JASON MCDONALD,(858) 259-2222,13101 HARTFIELD AVENUE,SAN DIEGO,CA,92130,SAN DIEGO,8,125,LICENSED,8/29/14,,9/9/16,0,5,11,16
