SRA,Region,Zipcode,ZCTA,Total (55 to 64),Under .50 (55 to 64),.50 to .74 (55 to 64),.75 to .99 (55 to 64),1.00 to 1.24 (55 to 64),1.25 to 1.49 (55 to 64),1.50 to 1.74 (55 to 64),1.75 to 1.84 (55 to 64),1.85 to 1.99 (55 to 64),2.00 to 2.99 (55 to 64),3.00 to 3.99 (55 to 64),4.00 to 4.99 (55 to 64),5.00 and over (55 to 64),Total (65 to 74),Under .50 (65 to 74),.50 to .74 (65 to 74),.75 to .99 (65 to 74),1.00 to 1.24 (65 to 74),1.25 to 1.49 (65 to 74),1.50 to 1.74 (65 to 74),1.75 to 1.84 (65 to 74),1.85 to 1.99 (65 to 74),2.00 to 2.99 (65 to 74),3.00 to 3.99 (65 to 74),4.00 to 4.99 (65 to 74),5.00 and over (65 to 74),Total (75 and over),Under .50 (75 and over),.50 to .74 (75 and over),.75 to .99 (75 and over),1.00 to 1.24 (75 and over),1.25 to 1.49 (75 and over),1.50 to 1.74 (75 and over),1.75 to 1.84 (75 and over),1.85 to 1.99 (75 and over),2.00 to 2.99 (75 and over),3.00 to 3.99 (75 and over),4.00 to 4.99 (75 and over),5.00 and over (75 and over)
Vista,North Coastal,92081,92081,3176,154,23,25,42,173,55,76,103,464,270,321,1470,2007,117,8,28,0,125,73,6,151,177,362,195,765,1697,38,20,33,70,182,51,25,31,317,248,180,502
Vista,North Coastal, 92083, 92083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vista,North Coastal, 92084, 92084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vista,North Coastal,00000,00000,3176,154,23,25,42,173,55,76,103,464,270,321,1470,2007,117,8,28,0,125,73,6,151,177,362,195,765,1697,38,20,33,70,182,51,25,31,317,248,180,502
Laguna-Pine Valley,East,91916,91916,363,9,0,5,0,9,0,0,0,67,9,41,223,308,0,0,0,0,20,0,0,0,64,47,25,152,72,0,0,0,0,9,0,0,0,16,30,0,17
Laguna-Pine Valley,East, 91931, 91931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laguna-Pine Valley,East, 91948, 91948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laguna-Pine Valley,East,00000,00000,363,9,0,5,0,9,0,0,0,67,9,41,223,308,0,0,0,0,20,0,0,0,64,47,25,152,72,0,0,0,0,9,0,0,0,16,30,0,17
Santee,East,92071,92071,6360,226,166,141,160,48,167,35,31,628,761,688,3309,3954,92,17,137,112,301,99,81,175,585,404,591,1360,2657,24,40,89,88,163,80,10,103,652,391,392,625
Santee,East,00000,00000,6360,226,166,141,160,48,167,35,31,628,761,688,3309,3954,92,17,137,112,301,99,81,175,585,404,591,1360,2657,24,40,89,88,163,80,10,103,652,391,392,625
Pendleton,North Coastal,92055,92055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,North Coastal, 92672, 92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,North Coastal,00000,00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley Center,North Inland,92082,92082,3625,389,42,92,94,63,74,0,7,228,348,418,1870,1393,2,13,27,12,11,30,52,23,138,274,71,740,1202,16,6,34,47,18,143,26,108,78,103,65,558
Valley Center,North Inland,00000,00000,3625,389,42,92,94,63,74,0,7,228,348,418,1870,1393,2,13,27,12,11,30,52,23,138,274,71,740,1202,16,6,34,47,18,143,26,108,78,103,65,558
Kearny Mesa,North Central,92108,92108,1508,101,0,12,119,57,7,0,38,187,173,115,699,1098,87,0,71,74,0,18,45,17,122,114,76,474,828,0,15,71,48,55,83,0,51,158,108,53,186
Kearny Mesa,North Central, 92110, 92110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearny Mesa,North Central, 92111, 92111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearny Mesa,North Central, 92117, 92117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearny Mesa,North Central, 92123, 92123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearny Mesa,North Central,00000,00000,1508,101,0,12,119,57,7,0,38,187,173,115,699,1098,87,0,71,74,0,18,45,17,122,114,76,474,828,0,15,71,48,55,83,0,51,158,108,53,186
National City,South ,91950,91950,6367,408,376,301,435,396,468,96,211,1557,770,599,750,3346,173,186,292,212,201,232,30,129,769,402,227,493,3021,121,151,303,235,299,221,24,90,517,396,339,325
National City,South ,00000,00000,6367,408,376,301,435,396,468,96,211,1557,770,599,750,3346,173,186,292,212,201,232,30,129,769,402,227,493,3021,121,151,303,235,299,221,24,90,517,396,339,325
Mid City,Central,92105,92105,6314,593,254,474,467,654,492,20,293,895,761,423,988,2942,57,115,298,331,297,185,107,142,512,448,210,240,2253,65,138,286,217,204,250,27,117,363,310,101,175
Mid City,Central, 92115, 92115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid City,Central, 92116, 92116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid City,Central,00000,00000,6314,593,254,474,467,654,492,20,293,895,761,423,988,2942,57,115,298,331,297,185,107,142,512,448,210,240,2253,65,138,286,217,204,250,27,117,363,310,101,175
Miramar,North Central,92145,92145,87,0,0,0,0,0,0,0,0,0,0,0,87,9,0,0,0,0,0,0,0,0,0,0,0,9,80,0,0,0,0,0,0,0,0,11,0,39,30
Miramar,North Central,00000,00000,87,0,0,0,0,0,0,0,0,0,0,0,87,9,0,0,0,0,0,0,0,0,0,0,0,9,80,0,0,0,0,0,0,0,0,11,0,39,30
Palomar-Julian,North Inland,92060,92060,9,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0
Palomar-Julian,North Inland, 92066, 92066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palomar-Julian,North Inland, 92070, 92070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palomar-Julian,North Inland, 92086, 92086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palomar-Julian,North Inland, 92536, 92536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palomar-Julian,North Inland,00000,00000,9,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0
Poway,North Inland,92064,92064,6759,156,52,99,159,120,164,130,76,555,674,527,4047,4185,49,98,46,187,48,139,0,53,505,458,478,2124,2690,37,80,115,177,238,164,44,67,359,284,382,743
Poway,North Inland, 92131, 92131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poway,North Inland,00000,00000,6759,156,52,99,159,120,164,130,76,555,674,527,4047,4185,49,98,46,187,48,139,0,53,505,458,478,2124,2690,37,80,115,177,238,164,44,67,359,284,382,743
Central San Diego,Central,92101,92101,4101,700,83,382,289,126,70,49,129,364,95,139,1675,2638,191,69,336,257,165,118,17,27,328,84,165,881,2084,170,47,331,156,231,170,29,39,201,227,9,474
Central San Diego,Central, 92102, 92102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92103, 92103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92104, 92104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92134, 92134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92136, 92113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central,00000,00000,4101,700,83,382,289,126,70,49,129,364,95,139,1675,2638,191,69,336,257,165,118,17,27,328,84,165,881,2084,170,47,331,156,231,170,29,39,201,227,9,474
South Bay,South ,91932,91932,2987,144,162,163,148,148,196,45,31,530,342,279,799,1271,34,87,127,67,115,84,6,16,276,145,109,205,1378,13,47,115,102,151,66,32,0,315,206,94,237
South Bay,South , 92154, 92154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bay,South , 92173, 92173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
