SRA,Region,Zipcode,ZCTA,NumRCFE,NumRCFEBeds,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
Vista,North Coastal,92081,92081,11,192.0,1,0,0,0,0,0,0,1535,860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55071,45104
Vista,North Coastal, 92083, 92083,15,201.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Vista,North Coastal, 92084, 92084,46,568.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Vista,North Coastal,00000,00000,72,961.0,1,10527,21056,18489,30059,2313,3165,1535,860,55995,32.13,43.96,8.17,7.29,11.94,0.66,777.71,24.21,55071,45104
Laguna-Pine Valley,East,91916,91916,0,0.0,0,0,0,0,0,0,0,113,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44969,43952
Laguna-Pine Valley,East, 91931, 91931,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Laguna-Pine Valley,East, 91948, 91948,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Laguna-Pine Valley,East,00000,00000,0,0.0,0,940,2036,1902,3021,5,11,113,47,1428,999.0,999.0,5.0,5.55,999.0,22.6,999.0,285.6,44969,43952
Santee,East,92071,92071,12,197.0,0,0,0,0,0,0,0,2374,1479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69331,39008
Santee,East,00000,00000,12,197.0,0,6375,13028,13046,21084,1391,2175,2374,1479,11966,115.92,181.25,23.2,18.22,123.25,1.71,997.17,8.6,69331,39008
Pendleton,North Coastal,92055,92055,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48750,0
Pendleton,North Coastal, 92672, 92672,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pendleton,North Coastal,00000,00000,0,0.0,0,70,189,31,67,<5,0,1,0,11087,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,48750,0
Valley Center,North Inland,92082,92082,6,35.0,0,0,0,0,0,0,0,1020,483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77393,57266
Valley Center,North Inland,00000,00000,6,35.0,0,4212,8000,10619,15011,263,535,1020,483,8147,43.83,89.17,11.47,12.75,80.5,3.88,1357.83,30.98,77393,57266
Kearny Mesa,North Central,92108,92108,4,227.0,0,0,0,0,0,0,0,605,278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62313,42115
Kearny Mesa,North Central, 92110, 92110,3,179.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central, 92111, 92111,9,51.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central, 92117, 92117,14,425.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
