SRA,Region,Zipcode,ZCTA,NumRCFELicensed,NumRCFEBedsLicensed,NumRCFEPending,NumRCFEBedsPending,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
Vista,North Coastal,92081,92081,7,174.0,0,0.0,1,0,0,0,0,0,0,1535,860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55071,45104
Vista,North Coastal, 92083, 92083,7,153.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Vista,North Coastal, 92084, 92084,29,441.0,2,18.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Vista,North Coastal,00000,00000,43,768.0,2,18.0,1,10527,21056,18489,30059,2313,3165,1535,860,55995,53.79,73.6,8.17,7.29,20.0,0.66,1302.21,24.21,55071,45104
Laguna-Pine Valley,East,91916,91916,0,0.0,0,0.0,0,0,0,0,0,0,0,113,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44969,43952
Laguna-Pine Valley,East, 91931, 91931,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Laguna-Pine Valley,East, 91948, 91948,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Laguna-Pine Valley,East,00000,00000,0,0.0,0,0.0,0,940,2036,1902,3021,5,11,113,47,1428,999.0,999.0,5.0,5.55,999.0,22.6,999.0,285.6,44969,43952
Santee,East,92071,92071,9,182.0,1,3.0,0,0,0,0,0,0,0,2374,1479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69331,39008
Santee,East,00000,00000,9,182.0,1,3.0,0,6375,13028,13046,21084,1391,2175,2374,1479,11966,154.56,241.67,23.2,18.22,164.33,1.71,1329.56,8.6,69331,39008
Pendleton,North Coastal,92055,92055,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48750,0
Pendleton,North Coastal, 92672, 92672,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pendleton,North Coastal,00000,00000,0,0.0,0,0.0,0,70,189,31,67,<5,0,1,0,11087,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,48750,0
Valley Center,North Inland,92082,92082,2,13.0,0,0.0,0,0,0,0,0,0,0,1020,483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77393,57266
Valley Center,North Inland,00000,00000,2,13.0,0,0.0,0,4212,8000,10619,15011,263,535,1020,483,8147,131.5,267.5,11.47,12.75,241.5,3.88,4073.5,30.98,77393,57266
