SRA,Region,Zipcode,ZCTA,55 to 64 (Low Income),65 to 74 (Low Income),75 and over (Low Income),55 and Over (Low Income),65 and Over (Low Income)
Vista,North Coastal,92081,92081,651,508,450,1609,958
Vista,North Coastal, 92083, 92083,0,0,0,0,0
Vista,North Coastal, 92084, 92084,0,0,0,0,0
Vista,North Coastal,00000,00000,651,508,450,1609,958
Laguna-Pine Valley,East,91916,91916,23,20,9,52,29
Laguna-Pine Valley,East, 91931, 91931,0,0,0,0,0
Laguna-Pine Valley,East, 91948, 91948,0,0,0,0,0
Laguna-Pine Valley,East,00000,00000,23,20,9,52,29
Santee,East,92071,92071,974,1014,597,2585,1611
Santee,East,00000,00000,974,1014,597,2585,1611
Pendleton,North Coastal,92055,92055,0,0,0,0,0
Pendleton,North Coastal, 92672, 92672,0,0,0,0,0
Pendleton,North Coastal,00000,00000,0,0,0,0,0
Valley Center,North Inland,92082,92082,761,170,398,1329,568
Valley Center,North Inland,00000,00000,761,170,398,1329,568
Kearny Mesa,North Central,92108,92108,334,312,323,969,635
Kearny Mesa,North Central, 92110, 92110,0,0,0,0,0
Kearny Mesa,North Central, 92111, 92111,0,0,0,0,0
Kearny Mesa,North Central, 92117, 92117,0,0,0,0,0
Kearny Mesa,North Central, 92123, 92123,0,0,0,0,0
Kearny Mesa,North Central,00000,00000,334,312,323,969,635
National City,South ,91950,91950,2691,1455,1444,5590,2899
National City,South ,00000,00000,2691,1455,1444,5590,2899
Mid City,Central,92105,92105,3247,1532,1304,6083,2836
Mid City,Central, 92115, 92115,0,0,0,0,0
Mid City,Central, 92116, 92116,0,0,0,0,0
Mid City,Central,00000,00000,3247,1532,1304,6083,2836
Miramar,North Central,92145,92145,0,0,0,0,0
Miramar,North Central,00000,00000,0,0,0,0,0
Palomar-Julian,North Inland,92060,92060,0,0,10,10,10
Palomar-Julian,North Inland, 92066, 92066,0,0,0,0,0
Palomar-Julian,North Inland, 92070, 92070,0,0,0,0,0
Palomar-Julian,North Inland, 92086, 92086,0,0,0,0,0
Palomar-Julian,North Inland, 92536, 92536,0,0,0,0,0
Palomar-Julian,North Inland,00000,00000,0,0,10,10,10
